2024/09/26 04:55:06 ERROR : Attempt 1/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Ananda/65%20Culture%20Chula/ELITENEW06502/DSC05923.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 ERROR : Attempt 2/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Ananda/65%20Culture%20Chula/ELITENEW06502/DSC05923.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 ERROR : Attempt 3/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Ananda/65%20Culture%20Chula/ELITENEW06502/DSC05923.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 NOTICE: Failed to copy: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Ananda/65%20Culture%20Chula/ELITENEW06502/DSC05923.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 ERROR : Attempt 1/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329154970_725510972284242_9083799489993716404_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 ERROR : Attempt 2/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329154970_725510972284242_9083799489993716404_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 ERROR : Attempt 3/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329154970_725510972284242_9083799489993716404_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:06 NOTICE: Failed to copy: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329154970_725510972284242_9083799489993716404_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:07 ERROR : Attempt 1/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329157832_3000613856907672_6341621447246538776_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:07 ERROR : Attempt 2/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329157832_3000613856907672_6341621447246538776_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:07 ERROR : Attempt 3/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/PHOTO%20ALL%20RESALE%20CODE/FN%20Code/FN23/ELITEFN230011/329157832_3000613856907672_6341621447246538776_n.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
